participant_id,pre_test_grade,post_test_grade,quiz_grade_1,quiz_grade_2,quiz_grade_3,quiz_grade_4,quiz_grade_5,quiz_grade_6,quiz_grade_7,quiz_grade_8,quiz_grade_9,quiz_grade_10,quiz_grade_11,quiz_grade_12,reading_time1,reading_time2,reading_time3,reading_time4,reading_time5,reading_time6,reading_time7,reading_time8,reading_time9,reading_time10,reading_time11,reading_time12
learner21,66.66666667,91.66666667,100,100,83.33333333,100,33.33333333,100,-1,100,-1,-1,-1,-1,534695,147610,135104,445956,196120,431098,25306,1596848,6630990,-1,-1,-1
learner22,66.66666667,75,100,100,83.33333333,66.66666667,33.33333333,100,66.66666667,66.66666667,33.33333333,100,66.66666667,66.66666667,39010,89518,492860,194972,106589,77375,23718,114281,361351,28068,27188,40831
learner23,58.33333333,50,33.33333333,83.33333333,100,66.66666667,50,66.66666667,-1,100,50,-1,77.77777778,66.66666667,115994,53657,86729,1329036,200856,184729,94996,639273,366135,1,29843,13482
learner24,33.33333333,66.66666667,50,100,100,100,33.33333333,100,100,66.66666667,66.66666667,100,66.66666667,66.66666667,26733,327998,34827,388740,60433,169283,116507,174711,225521,70565,14590,60964
learner25,41.66666667,41.66666667,66.66666667,100,100,66.66666667,83.33333333,33.33333333,100,100,33.33333333,66.66666667,66.66666667,66.66666667,614298,56395,285852,621705,138157,264016,72740,1154582,224134,322218,28773,20918
