participant_id,pre_test_grade,post_test_grade,quiz_grade_1,quiz_grade_2,quiz_grade_3,quiz_grade_4,quiz_grade_5,quiz_grade_6,quiz_grade_7,quiz_grade_8,quiz_grade_9,quiz_grade_10,quiz_grade_11,quiz_grade_12,reading_time1,reading_time2,reading_time3,reading_time4,reading_time5,reading_time6,reading_time7,reading_time8,reading_time9,reading_time10,reading_time11,reading_time12
learner16,41.66666667,50,33.33333333,100,100,66.66666667,66.66666667,0,33.33333333,66.66666667,66.66666667,33.33333333,66.66666667,66.66666667,21284,380282,28356,208086,93778,71463,47300,120678,323384,65935,33566,80263
learner17,25,66.66666667,83.33333333,100,66.66666667,100,66.66666667,100,33.33333333,100,66.66666667,100,66.66666667,100,112673,29899,728890,1433505,138593,714959,68446,635040,460433,64447,16930,51346
learner18,41.66666667,75,66.66666667,100,100,66.66666667,100,33.33333333,66.66666667,66.66666667,66.66666667,100,66.66666667,100,73023,61368,55029,5779898,70508,356944,79585,731986,715134,106342,19499,17935
learner19,66.66666667,91.66666667,33.33333333,100,100,66.66666667,100,100,66.66666667,66.66666667,-1,-1,66.66666667,66.66666667,19724,109927,86731,271139,454247,182279,132672,268094,724530,432704,398771,208242
learner20,50,75,33.33333333,100,66.66666667,66.66666667,33.33333333,33.33333333,66.66666667,100,100,0,100,66.66666667,66168,141143,183362,653662,270378,454383,79598,366731,837185,108154,53047,72562
