participant_id,pre_test_grade,post_test_grade,quiz_grade_1,quiz_grade_2,quiz_grade_3,quiz_grade_4,quiz_grade_5,quiz_grade_6,quiz_grade_7,quiz_grade_8,quiz_grade_9,quiz_grade_10,quiz_grade_11,quiz_grade_12,reading_time1,reading_time2,reading_time3,reading_time4,reading_time5,reading_time6,reading_time7,reading_time8,reading_time9,reading_time10,reading_time11,reading_time12
learner1,33.33333333,50,33.33333333,100,100,66.66666667,100,25,66.66666667,66.66666667,66.66666667,66.66666667,100,50,152445,84009,188654,535341,120212,258586,48837,232828,1079812,115167,77491,86452
learner2,41.66666667,83.33333333,83.33333333,100,100,33.33333333,33.33333333,66.66666667,-1,-1,-1,-1,-1,-1,198508,32947,333267,1175692,180329,833460,27584,255574,99228,61746,704727,5073
learner3,58.33333333,91.66666667,100,100,100,100,33.33333333,0,33.33333333,66.66666667,66.66666667,100,66.66666667,66.66666667,27275,48079,57348,521515,87331,325040,90014,474586,711963,131127,40980,289890
learner4,50,66.66666667,22.22222222,100,100,66.66666667,66.66666667,0,-1,-1,-1,-1,-1,-1,46439,62589,44911,309313,14222,62093,17797,100149,29148,77902,7699,25614
learner5,33.33333333,66.66666667,66.66666667,100,100,66.66666667,33.33333333,33.33333333,33.33333333,100,66.66666667,100,66.66666667,66.66666667,52130,62223,138453,586357,100093,738214,955867,789476,236087,138231,74602,18625
