participant_id,pre_test_grade,post_test_grade,quiz_grade_1,quiz_grade_2,quiz_grade_3,quiz_grade_4,quiz_grade_5,quiz_grade_6,quiz_grade_7,quiz_grade_8,quiz_grade_9,quiz_grade_10,quiz_grade_11,quiz_grade_12,reading_time1,reading_time2,reading_time3,reading_time4,reading_time5,reading_time6,reading_time7,reading_time8,reading_time9,reading_time10,reading_time11,reading_time12
learner26,8.333333333,41.66666667,66.66666667,33.33333333,66.66666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,46905,68028,115262,251532,139920,169027,88661,384675,451715,127651,89778,74543
learner27,50,66.66666667,100,100,100,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,100,100,66.66666667,52998,50516,164005,975153,331181,528202,118118,347380,714557,114671,87342,207762
learner28,33.33333333,41.66666667,100,100,66.66666667,66.66666667,33.33333333,33.33333333,100,66.66666667,0,66.66666667,33.33333333,66.66666667,160896,170302,76030,909772,123949,218052,79470,101941,167072,113025,6690,7092
learner29,25,58.33333333,83.33333333,100,100,100,33.33333333,33.33333333,66.66666667,66.66666667,0,100,33.33333333,-1,289545,121546,484829,277119,229722,316634,82033,1152291,1070946,33440,30892,-1
learner30,66.66666667,50,33.33333333,100,100,66.66666667,33.33333333,0,0,100,0,66.66666667,33.33333333,100,27381,54606,31074,903532,43430,75714,78971,239081,352416,68605,2629,24395
