participant_id,pre_test_grade,post_test_grade,quiz_grade_1,quiz_grade_2,quiz_grade_3,quiz_grade_4,quiz_grade_5,quiz_grade_6,quiz_grade_7,quiz_grade_8,quiz_grade_9,quiz_grade_10,quiz_grade_11,quiz_grade_12,reading_time1,reading_time2,reading_time3,reading_time4,reading_time5,reading_time6,reading_time7,reading_time8,reading_time9,reading_time10,reading_time11,reading_time12
learner11,41.66666667,75,66.66666667,100,100,33.33333333,33.33333333,33.33333333,33.33333333,0,0,-1,66.66666667,66.66666667,149916,380968,95943,364655,334838,140991,67375,746739,467927,167188,179281,158699
learner12,41.66666667,75,33.33333333,100,66.66666667,66.66666667,33.33333333,33.33333333,66.66666667,100,33.33333333,0,66.66666667,66.66666667,136208,38134,96418,1968954,96258,1790556,74272,906019,449490,647141,10080,9258
learner13,41.66666667,66.66666667,33.33333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,33.33333333,-1,2662629,34124,35898,39315,21807,30672,22732,39754,63987,8194,7661,12489
learner14,50,58.33333333,0,100,66.66666667,100,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,33.33333333,-1,42175,92026,158576,310141,197745,156468,699915,342190,528955,135057,114381,109610
learner15,8.333333333,16.66666667,0,100,33.33333333,66.66666667,22.22222222,0,33.33333333,33.33333333,0,0,0,-1,86591,40486,37686,149020,23468,64241,25493,571698,571781,117708,74443,-1
